Numer,Name,Value,Unit,Description
1,nstages,30,[-],Number of stages
2,C0solid,141.8181818,kg/m3,Inital concentration in the solid phase
3,r,1.98E-02,m,Extractor radius
4,epsi,0.77,[-],Void fraction
5,dp,3.00E-04,m,Particle diameter
6,L,0.165,m,Extractor length
7,rho_s,1364,kg/m3,Density of solid particles
8,km,1,[-],Mass partition coefficient
9,mi,0.5,[-],Particle shape coefficient
10,Tc,304.1,K,Critical temperature
11,Pc,73.8,bar,Critical pressure
12,R,0.0000831,[m3-bar/K-mol],Gas constant
13,kappa,0.225,[-],Acentric factor
14,MW,0.044,Kg/mol,Molar mass
15,EA_Di,0.738266579,[-],
16,betah_Di,51.24432282,[-],
17,CP_0,NAN,,Ideal gas CP for CO2
18,CP_A,22.26,,
19,CP_B,5.98E-02,,
20,CP_C,-3.50E-05,,
21,CP_D,7.47E-09,,
22,EA_km,-1.078261986,,
23,betah_km,3.63E-19,,
24,cpSolid,1.5,kJ/K/Kg,
25,a_axial,0.1,,
26,b_axial,0.011,,
27,c_axial,0.48,,
28,A1_cond,-105.161,,
29,A2_cond,0.9007,,
30,A3_cond,0.0007,,
31,A4_cond,3.50E-15,,
32,A5_cond,3.76E-10,,
33,A6_cond,0.75,,
34,A7_cond,0.0017,,
35,A1_visc,-0.1146067,,
36,A2_visc,0.000000698,,
37,A3_visc,3.98E-10,,
38,A4_visc,0.0633612,,
39,A5_visc,-0.01166119,,
40,A6_visc,0.00071426,,
41,A7_visc,0.00000652,,
42,A8_visc,-0.3567559,,
43,A9_visc,0.03180473,,
44,D1,0.19,,
45,D2,8.188,,
46,D3,0.62,,
47,G1,3.158,,
48,G2,11.922,,
49,G3,0.6868,,
50,RBF_C1_1,-1.59275360760578,,
51,RBF_C1_2,-0.330885706970591,,
52,RBF_C1_3,-0.529526501260896,,
53,RBF_C1_4,-0.432514129320846,,
54,RBF_C1_5,1.0017932885702,,
55,RBF_C2_1,0.878357924108903,,
56,RBF_C2_2,0.76513527041042,,
57,RBF_C2_3,0.313351960457348,,
58,RBF_C2_4,0.510183602054494,,
59,RBF_C2_5,-0.0814693778681811,,
60,RBF_C3_1,-0.348648939873441,,
61,RBF_C3_2,-1.04990830799742,,
62,RBF_C3_3,-0.0131591230258063,,
63,RBF_C3_4,1.09031250984351,,
64,RBF_C3_5,0.383924413194331,,
65,RBF_w_1,-1.02499389917762,,
66,RBF_w_2,-2.31949976721843,,
67,RBF_w_3,9.1490549062229,,
68,RBF_w_4,4.08462881588673,,
69,RBF_w_5,1.33798954966086,,
70,RBF_s1_1,1.04228820358774,,
71,RBF_s1_2,1.38643472222032,,
72,RBF_s1_3,0.474189045157571,,
73,RBF_s1_4,0.54791788036478,,
74,RBF_s1_5,0.83831466669182,,
75,RBF_s2_1,1.34924406730638,,
76,RBF_s2_2,1.99667643648746,,
77,RBF_s2_3,0.0360907562997566,,
78,RBF_s2_4,2.73057966024484,,
79,RBF_s2_5,1.86873498443642,,
80,RBF_s3_1,0.91995002415651,,
81,RBF_s3_2,0.367289837290405,,
82,RBF_s3_3,1.33470591497929,,
83,RBF_s3_4,0.0092983478917197,,
84,RBF_s3_5,2.03008614520813,,
85,RBF_b,-1.08117530218874,,
